"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"221","@ANZ_NZ see you there ^CR?",FALSE,1,"ANZ_NZ",2015-02-17 04:30:58,FALSE,"567510338208563200","567541692366999553","136931879","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaQuishaR",0,FALSE,FALSE,"0","0"
"222","Australian woman shocked by balance of $10 million on bank receipt http://t.co/BoiYVc5wEd",FALSE,0,NA,2015-02-17 04:30:52,FALSE,NA,"567541667482189825",NA,"<a href=""http://codemartial.com/"" rel=""nofollow"">Paijwar Innovation</a>","paijwar",0,FALSE,FALSE,NA,NA
"223","Vote &amp; send a #GAYTM to Launceston, where Sharon Jones supports LGBTI through @RelationshipsA2 http://t.co/OWgWACWBId http://t.co/2bgWTpQsE1",FALSE,2,NA,2015-02-17 04:30:29,FALSE,NA,"567541572167036930",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ANZ_AU",0,FALSE,FALSE,NA,NA
"224","@Lenovo_ANZ Are the official photos/videos up for #techmyway?",FALSE,0,"Lenovo_ANZ",2015-02-17 04:30:10,FALSE,NA,"567541491438858241","225996561","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","firstnamelee",0,FALSE,FALSE,NA,NA
"225","Australian woman shocked by balance of $10 million on bank receipt http://t.co/xxipaTE9VW",FALSE,0,NA,2015-02-17 04:30:03,FALSE,NA,"567541462758219776",NA,"<a href=""http://mi360.massiveimpressions.com"" rel=""nofollow"">MI360</a>","ClickWhisperer",0,FALSE,FALSE,"-80.069251","26.350777"
"226","An Australian woman was shocked to discover her bank account balance was $10 million http://t.co/clvKXgTfJH (spoiler: ATM glitch.)",FALSE,0,NA,2015-02-17 04:29:30,FALSE,NA,"567541325139308546",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","mhess4",0,FALSE,FALSE,NA,NA
"227","#News #GoldCoast Gold Coast Woman Left With $7.5K Debt After ANZ Deposited $10M Into Her Bank Account http://t.co/CAOcejEPKR",FALSE,0,NA,2015-02-17 04:28:07,FALSE,NA,"567540976093114368",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jasons_GC",0,FALSE,FALSE,NA,NA
"228","#ANZ boss quits. Any connection here? https://t.co/DBkW7BZ1MA",FALSE,0,NA,2015-02-17 04:27:08,FALSE,NA,"567540727190548480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Goodixlady",0,FALSE,FALSE,NA,NA
"229","Australian woman shocked by balance of $10 million on bank receipt http://t.co/jF1I44Go7h",FALSE,0,NA,2015-02-17 04:24:05,FALSE,NA,"567539959083843586",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","kwaichi",0,FALSE,FALSE,NA,NA
"230","ANZ Reports Steady Profit Australia &amp; New Zealand Banking Group Ltd. said profit in its first fiscal quarter was flat, as expenses clim",FALSE,0,NA,2015-02-17 04:23:44,FALSE,NA,"567539873498673152",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","ExpertBusinessm",0,FALSE,FALSE,NA,NA
"231","RT @tomjd: Very grateful, excited and surprised to have been awarded @TheNexusSummit ANZ Innovator of the Year Award last night. Thank you!…",FALSE,0,NA,2015-02-17 04:23:22,FALSE,NA,"567539779298807809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jaredchampion",2,TRUE,FALSE,NA,NA
"232","@ANZ_AU talk with the Tasmanian fraud squad and cancel the fraudulent transaction before it goes thru",FALSE,0,"ANZ_AU",2015-02-17 04:22:03,FALSE,"567538949095424001","567539448091381760","300538480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","corruscat",0,FALSE,FALSE,NA,NA
"233","@donnagow Thanks for that Donna, we have responded to your DM. ^DK",FALSE,0,"donnagow",2015-02-17 04:20:13,FALSE,"567519557254782977","567538988794519554","20639758","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ANZ_AU",0,FALSE,FALSE,NA,NA
"234","Heroes of Order &amp; Chaos introduces a new hero: Draeznor! We also balanced some hero skills, reworked items &amp; more. http://t.co/aal8ZOll1B",FALSE,0,NA,2015-02-17 04:20:06,FALSE,NA,"567538958062862336",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Gameloft_ANZ",0,FALSE,FALSE,NA,NA
"235","@corruscat We’re sorry to hear of your situation Cat. Is there anything that we can help you with? ^DK",FALSE,0,"corruscat",2015-02-17 04:20:04,FALSE,"567531729825456129","567538949095424001","1528501494","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ANZ_AU",0,FALSE,FALSE,NA,NA
"236","Australian woman shocked by balance of $10 million on bank receipt http://t.co/ZvvawZ8zer via @mashable",FALSE,0,NA,2015-02-17 04:20:02,FALSE,NA,"567538939691421696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","02chrisw90",0,FALSE,FALSE,NA,NA
"237","@IamAlexTaylor93 @IAmCalmMind it was the ANZ that did it last year. There is an ATM at 81 Oxford St. Don't know if they're doing it this yr.",FALSE,1,"IamAlexTaylor93",2015-02-17 04:18:01,FALSE,"567536251893329920","567538431509544961","1952998970","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Water_Worx",0,FALSE,FALSE,NA,NA
"238","Australian woman shocked by balance of $10 million on bank receipt http://t.co/I4Tn9MZIYE",FALSE,0,NA,2015-02-17 04:17:58,FALSE,NA,"567538419963019264",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iNavegar",0,FALSE,FALSE,NA,NA
"239","ANZ $ANZ Despite full-year earnings on track, headwinds slowing the rate of growth across the group http://t.co/6K1EMrcOSs #ausbiz",FALSE,0,NA,2015-02-17 04:17:08,FALSE,NA,"567538209534795776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MstarChristine",0,FALSE,FALSE,NA,NA
"240","RT @ANZ_AU: Lismore celebrates diversity &amp; friendship w/ #TropicalFruits. Vote &amp; send a #GAYTM there: http://t.co/OWgWACWBId http://t.co/oa…",FALSE,0,NA,2015-02-17 04:17:01,FALSE,NA,"567538182372089856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phil_burne",9,TRUE,FALSE,NA,NA
"241","RT @ANZ_NZ: We were proud to help launch the 8th edition of the ANZ Championship today! @ANZChamps #anzcourtside http://t.co/XJOT8iOTpD",FALSE,0,NA,2015-02-17 04:16:15,FALSE,NA,"567537989601865729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SarahMBell",6,TRUE,FALSE,NA,NA
"242","@malialipali Thanks for informing us of this Joca. Could you please DM us some more info on the phone conversation? ^DK",FALSE,0,"malialipali",2015-02-17 04:15:19,FALSE,"567518106579251201","567537754373099521","411366705","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ANZ_AU",0,FALSE,FALSE,NA,NA
"243","RT- #Smallbusiness council calls for “even playing field” on fringe benefits tax @SmartCompany        http://t.co/MXXRzmhdeQ",FALSE,0,NA,2015-02-17 04:15:01,FALSE,NA,"567537679471214592",NA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","ADP_ANZ",0,FALSE,FALSE,NA,NA
"244","EMEA and ANZ regions experience surge in crypto-ransomware attacks according to @TrendLabs http://t.co/d97THSk9px #Cybercrime #TorrentLocker",FALSE,1,NA,2015-02-17 04:10:57,FALSE,NA,"567536656572379136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abucisoqitic",0,FALSE,FALSE,NA,NA
"245","RT @JamesGlynnWSJ: ANZ holds firm to March rate cut call #ausbiz",FALSE,0,NA,2015-02-17 04:10:34,FALSE,NA,"567536560162107392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iggydamiani",2,TRUE,FALSE,NA,NA
"246","RT @JamesGlynnWSJ: ANZ holds firm to March rate cut call #ausbiz",FALSE,0,NA,2015-02-17 04:09:49,FALSE,NA,"567536371183538176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","PeteWargent",2,TRUE,FALSE,NA,NA
"247","Citrix Solution Webinar: Drive business growth with Citrix Workspace Suite (ANZ): Citrix Solution Webinar: Dri... http://t.co/ILN1v6mEG7",FALSE,0,NA,2015-02-17 04:08:31,FALSE,NA,"567536041951625216",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Albert0128",0,FALSE,FALSE,NA,NA
"248","RT @ANZ_NZ: We were proud to help launch the 8th edition of the ANZ Championship today! @ANZChamps #anzcourtside http://t.co/XJOT8iOTpD",FALSE,0,NA,2015-02-17 04:07:57,FALSE,NA,"567535901345972225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndrewKayNZ",6,TRUE,FALSE,NA,NA
"249","@thedippaeffect yep. Looking to put together a poll article or ANZ journos following http://t.co/md7c7MG307",FALSE,0,"thedippaeffect",2015-02-17 04:07:10,FALSE,"567528700128657409","567535702431117312","201170181","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JVDMCV",1,FALSE,FALSE,NA,NA
"250","RT @ANZ_NZ: Cheer on the @BLACKCAPS by donning your #DreamBigNZ tattoo &amp; be in to win! More info here :http://t.co/WHOvWwyYMY http://t.co/m…",FALSE,0,NA,2015-02-17 04:06:25,FALSE,NA,"567535512240406529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IndieKiwi",1,TRUE,FALSE,NA,NA
"251","RT @NZXGroup: NZX 50 closed down 8.034 points or 0.14%. $NZO, $NZX &amp; $ANZ led the decline #NZXdata",FALSE,0,NA,2015-02-17 04:06:12,FALSE,NA,"567535459232780288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Heslip1994",1,TRUE,FALSE,NA,NA
"252","""Tell me anz I'll forget; show me and I may remember; involve me and I'll understbnd.""  Ancient Chinese proverb",FALSE,0,NA,2015-02-17 04:05:50,FALSE,NA,"567535365930901505",NA,"<a href=""http://www.n3g4qjzucvk0685stp2o7xda1yrihfml9bw.com"" rel=""nofollow"">jpvsynto1otbd5f0xgrimb9bn2hlckvo</a>","chukieldora282",0,FALSE,FALSE,NA,NA
"253","Australian woman shocked by balance of $10 million on bank receipt http://t.co/DeIazrpoXF",FALSE,0,NA,2015-02-17 04:05:33,FALSE,NA,"567535294610939904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","williamsager",0,FALSE,FALSE,NA,NA
"254","#CitrixTS Citrix Solution Webinar: Drive business growth with Citrix Workspace Suite (ANZ) http://t.co/9ZmkLDRaQn",FALSE,0,NA,2015-02-17 04:05:24,FALSE,NA,"567535257290039296",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CitrixEVG",0,FALSE,FALSE,NA,NA
"255","NZX 50 closed down 8.034 points or 0.14%. $NZO, $NZX &amp; $ANZ led the decline #NZXdata",FALSE,0,NA,2015-02-17 04:05:16,FALSE,NA,"567535226167889921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NZXGroup",1,FALSE,FALSE,NA,NA
"256","Australian woman shocked by balance of $10 million on bank receipt

An Australian woman discovered an available... http://t.co/4aLGf4YJFF",FALSE,0,NA,2015-02-17 04:04:39,FALSE,NA,"567535070731587585",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","thewordflirt",0,FALSE,FALSE,NA,NA
"257","ANZ holds firm to March rate cut call #ausbiz",FALSE,1,NA,2015-02-17 04:02:50,FALSE,NA,"567534613610778625",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","JamesGlynnWSJ",2,FALSE,FALSE,NA,NA
"258","RT @gramercypark: Australia’s @ANZ_AU Bank have created these cool ‘GAYTM' Cash Machines for the Sydney Gay &amp; Lesbian Mardi Gras! #fun http…",FALSE,0,NA,2015-02-17 04:01:46,FALSE,NA,"567534342809731072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mackenna42",8,TRUE,FALSE,NA,NA
"259","You drive me insanely... head over heels for you!

Shop &gt; http://t.co/6JRElE1Wu0
x Ella http://t.co/pTdg1w9U0j",FALSE,0,NA,2015-02-17 04:00:03,FALSE,NA,"567533910729719809",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Reebonz_ANZ",0,FALSE,FALSE,NA,NA
"260","Great discussions at today’s Brisbane #EPO2015 - videos will be available on the CEDA website Thursday @anz_warrenhogan @MicheleLevine_",FALSE,0,NA,2015-02-17 03:59:19,FALSE,NA,"567533728680128512",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ceda_news",3,FALSE,FALSE,NA,NA
"261","RT @shanejurgo: Never seen a one-claw yellow crab before until now in Suva #fiji #bizarre @ ANZ Stadium, Suva, Fiji http://t.co/eAAi59E7um",FALSE,0,NA,2015-02-17 03:58:51,FALSE,NA,"567533609985126400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FijiSportsC",1,TRUE,FALSE,NA,NA
"262","ANZ launch for the @anzchampslive today in aucks. Was good fun. @steelnetball. Bring on the season 1st… http://t.co/vQThg5clAJ",FALSE,0,NA,2015-02-17 03:58:07,FALSE,NA,"567533424521781248",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","wenzfrew",0,FALSE,FALSE,NA,NA
"263","ANZ- Roy Morgan Consumer at Six Month Lows  http://t.co/EruO8I55zz",FALSE,0,NA,2015-02-17 03:57:23,FALSE,NA,"567533240593162243",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","Zanukah",0,FALSE,FALSE,NA,NA
"264","#News #GoldCoast Gold Coast Woman Left With $7.5K Debt After ANZ Deposited $10M Into Her Bank Account http://t.co/iwSWsRyrxp",FALSE,0,NA,2015-02-17 03:56:35,FALSE,NA,"567533039668846592",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Jasons_GC",0,FALSE,FALSE,NA,NA
"265","@ANZ_NZ thank you",FALSE,0,"ANZ_NZ",2015-02-17 03:56:18,FALSE,"567503862958161922","567532968923508736","136931879","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marie_clair",0,FALSE,FALSE,NA,NA
"266","RT @BLACKCAPS: .@ronchi04 has great memories of this ground, how good was his 170* here v @OfficialSLC in the ANZ International Series? Ver…",FALSE,0,NA,2015-02-17 03:56:11,FALSE,NA,"567532939131375617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamjoydeep_4",8,TRUE,FALSE,NA,NA
"267","RT @aus_business: BREAKING: ANZ flags dividend at the top of FY15 target range http://t.co/pA0oKD4N2B #businessnow #ausbiz http://t.co/GPoK…",FALSE,0,NA,2015-02-17 03:54:55,FALSE,NA,"567532617965133825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DMT4KOOPA",14,TRUE,FALSE,NA,NA
